"filename", "language", "Python", "comment", "blank", "total"
"d:\project\MATH-IME\src\core\gui\guimanager.py", "Python", 7, 0, 2, 9
"d:\project\MATH-IME\src\core\gui\input.py", "Python", 28, -4, 11, 35
"d:\project\MATH-IME\src\core\gui\status.py", "Python", 7, -2, 0, 5
"d:\project\MATH-IME\src\core\gui\tray.py", "Python", 18, -4, 0, 14
"Total", "-", 60, -10, 13, 63
